,�..O1,A1_1,A1_2,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32
117,5/21/2020 4:10,United States,US/Canada,Female,Undergraduate school,A garden,22,White,"Single, never married",Employed for wages,Yes,More than 3 weeks,Worried,3,2,4,3,4,2,4,2,4,2,3,2,4,3,4,1-2 years,RPG,Almost everyday,1-2 hours,3. Every week,Planting trees/flowers,seaside,2,3,4,2,2,4,3,3,4,3,3,2,3,3,2,3,2,3,3,4,4,3,3,2,4,3,3,3,4,3,3,3,4,3,3,2,4,4,3,3,3,3,4,3,2,2,3,3,3,4,3,3,3,4,3,3,2,3,3,4
125,5/21/2020 4:31,United States,US/Canada,Male,High school,A pet,22,Black or African American,"Single, never married",Self-employed,Yes,More than 3 weeks,A little,5,1,4,1,4,1,4,1,5,2,4,2,4,2,4,2-3 years,"Strategy, Sports",Almost everyday,2-3 hours,2. Almost everyday,Fishing,seaside,3,4,3,2,3,5,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,5,4,4,3,3,4,4,3,3,4,4,4,4,3,3,5,4,4,5,3,3,2,3,2,2,3,2,2,2,3
130,5/21/2020 4:44,United States,US/Canada,Female,High school,A pet,22,White,"Single, never married",A student,Yes,More than a month,Worried,4,3,4,3,3,2,5,1,4,2,3,2,4,2,3,1-2 years,Simulation,Every week,1-2 hours,2. Almost everyday,Planting trees/flowers,riverside,3,3,4,3,3,4,4,5,5,3,4,4,3,3,3,3,2,2,2,4,4,3,3,2,3,4,3,3,3,3,3,3,4,3,2,3,4,3,4,3,3,4,3,3,2,3,3,2,3,3,3,3,4,2,3,3,4,2,3,4
147,5/21/2020 5:42,USA,US/Canada,Male,High school,Both,22,White,"Single, never married",Out of work and looking for work,Yes,More than 3 weeks,Worried,3,2,3,2,5,4,4,4,4,4,4,3,5,2,2,More than 3 years,"Simulation, Strategy",Everyday,1-2 hours,1. Everyday,Fishing,none,3,4,1,3,1,4,2,4,3,2,2,3,1,3,3,2,2,2,3,2,3,4,2,2,2,3,1,4,5,3,4,2,5,4,5,3,5,4,5,2,4,2,3,4,4,3,2,5,4,3,2,4,5,3,4,3,2,5,4,3
151,5/21/2020 5:54,America,US/Canada,Female,Undergraduate school,A pet,22,White,"Single, never married",A student,No,No self-isolation/social distancing,Very worried,4,1,4,2,5,1,5,1,4,2,4,3,4,2,5,2-3 years,"Action, RPG, Simulation",Almost everyday,2-3 hours,3. Every week,Catching bugs,Mini city,2,2,3,3,2,3,2,4,5,4,2,1,4,4,3,4,1,1,2,3,4,4,3,1,3,2,4,4,3,4,4,5,3,3,2,3,4,3,2,3,3,3,4,2,3,2,3,4,3,3,2,2,3,4,4,2,3,2,4,4
174,5/21/2020 11:34,Viet Nam,Asia,Male,Undergraduate school,A garden,22,Asian,"Single, never married",Employed for wages,Yes,More than a month,A little,5,4,3,2,4,1,4,5,5,5,4,5,5,4,5,More than 3 years,"Action, Adventure, RPG, Strategy, Platform",Almost everyday,3-4 hours,1. Everyday,Terraforming,Traditional Japanese theme,4,4,2,4,3,5,5,4,3,4,3,4,2,3,3,4,3,2,3,4,2,3,2,2,4,4,2,4,5,3,3,5,5,5,1,2,4,3,1,5,5,5,1,2,2,2,5,5,4,1,1,1,5,1,5,5,3,5,5,1
186,5/21/2020 17:11,usa,US/Canada,Male,Undergraduate school,Both,22,Asian,Married or domestic partnership,Employed for wages,Yes,More than a month,Worried,5,2,5,2,3,2,4,1,5,2,3,2,4,1,4,More than 3 years,"Adventure, RPG, Simulation, Strategy, Sports",Every week,2-3 hours,2. Almost everyday,Catching bugs,swamp,3,3,4,4,3,4,5,5,5,3,4,4,4,3,3,3,3,4,3,4,4,4,3,3,3,3,3,4,4,3,4,4,5,5,5,4,3,4,4,5,4,3,3,3,4,4,4,5,5,4,4,3,3,3,5,4,4,4,4,5
210,5/22/2020 1:40,Canadian,US/Canada,Female,High school,None,22,White,"Single, never married",Self-employed,Yes,More than a month,Worried,5,2,4,3,5,2,5,4,5,5,4,5,4,4,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,3-4 hours,1. Everyday,Designing/decorating,Not sure,3,2,3,4,2,5,5,5,5,4,1,4,1,1,4,4,4,1,1,4,4,2,1,1,4,3,1,3,5,5,4,5,5,5,3,2,3,5,2,5,4,5,5,2,4,5,5,5,5,3,3,3,4,3,4,4,3,5,4,2
213,5/22/2020 1:55,Asian,Asia,Female,Undergraduate school,A pet,22,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,4,4,3,4,1,4,3,3,2,3,1,4,2,4,More than 3 years,"Action, Adventure, Strategy, FPS MMORPG",Everyday,2-3 hours,2. Almost everyday,Fishing,Natural,3,4,3,4,2,5,3,5,3,4,1,4,1,4,3,4,1,4,3,3,2,2,2,4,4,4,4,4,5,4,4,5,5,5,2,2,2,4,1,5,5,5,5,1,4,5,5,5,5,2,2,1,5,5,5,5,2,5,2,1
256,5/24/2020 22:26,British,EU,Female,Graduate school and higher,Both,22,White,Married or domestic partnership,Employed for wages,Yes,More than a month,Very worried,5,4,5,2,5,3,5,3,5,3,5,5,5,5,5,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost everyday,3-4 hours,2. Almost everyday,Fishing,Simple and natural,3,4,2,2,3,5,5,5,5,4,3,2,3,1,2,3,2,3,3,4,4,3,2,2,4,3,2,3,5,4,5,5,5,5,1,3,2,4,4,5,4,5,4,1,4,5,5,5,5,1,1,1,5,4,5,4,2,4,4,2
281,5/24/2020 23:26,British,EU,Female,Graduate school and higher,Both,22,White,"Single, never married",Self-employed,No,No self-isolation/social distancing,Worried,5,2,5,3,5,1,5,5,5,5,4,4,4,4,5,More than 3 years,"Adventure, RPG, Simulation",Everyday,3-4 hours,1. Everyday,Terraforming,Not sure what this means,4,4,3,4,3,5,5,5,4,4,2,4,1,1,3,4,3,2,4,3,3,1,1,2,4,3,2,3,5,4,5,5,5,5,1,2,1,5,5,5,2,4,4,2,3,3,4,5,3,2,1,1,4,2,4,5,2,3,1,1
284,5/25/2020 0:05,Filipino,Asia,Female,Undergraduate school,Both,22,Asian,"Single, never married",Out of work but not currently looking for work,Yes,More than a month,Worried,3,2,4,1,5,2,5,4,5,5,5,2,3,2,5,More than 3 years,"Adventure, RPG, Simulation",Everyday,3-4 hours,1. Everyday,talking to my villagers,"natural, forest-y, cute ",3,2,4,3,3,4,4,5,5,4,2,2,4,3,3,2,2,2,2,3,4,2,4,2,3,4,2,4,5,5,5,5,5,5,1,1,3,4,1,5,3,5,5,2,3,5,5,5,5,1,3,1,5,4,5,5,3,4,3,1
333,5/25/2020 5:22,British,EU,Female,Undergraduate school,Both,22,White,Married or domestic partnership,A student,Yes,More than a month,Worried,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,More than 3 years,Simulation,Everyday,1-2 hours,1. Everyday,Planting trees/flowers,Cottage core ,2,2,3,2,2,5,5,5,5,4,3,4,1,1,4,4,4,4,4,3,3,3,1,2,3,3,2,3,3,3,3,3,3,3,1,2,1,3,1,3,2,3,3,1,3,3,2,3,2,1,1,1,2,2,2,2,1,2,1,1
349,5/25/2020 5:37,American,US/Canada,Female,High school,A pet,22,White,"Single, never married",Out of work and looking for work,Yes,More than a month,Worried,4,4,5,4,5,2,5,4,5,4,4,5,5,4,5,More than 3 years,"Adventure, RPG, Simulation, Strategy",Almost everyday,2-3 hours,1. Everyday,Catching bugs,Natural looking areas,4,4,3,3,3,5,5,5,5,4,2,3,3,3,3,4,4,2,3,4,4,2,3,2,4,3,3,4,5,4,3,5,4,5,1,3,1,4,1,5,4,5,5,2,4,4,5,5,4,2,1,1,5,3,5,4,2,4,4,1
369,5/25/2020 6:04,American,US/Canada,Female,High school,A garden,22,White,Separated,Unable to work,No,No self-isolation/social distancing,Not at all,5,3,4,2,4,2,4,3,4,3,2,2,3,2,3,More than 3 years,"RPG, Simulation",Everyday,Over 4 hours,1. Everyday,Collecting things,???,3,3,2,4,2,5,5,5,5,4,2,4,1,3,2,1,2,4,3,3,4,2,1,4,4,3,1,1,5,3,5,5,5,5,1,5,1,5,1,5,5,5,5,2,4,5,5,5,5,1,1,2,5,5,5,4,1,5,5,1
389,5/25/2020 6:32,American,US/Canada,Female,Undergraduate school,None,22,White,Married or domestic partnership,A student,Yes,More than a month,Worried,4,3,4,1,5,3,2,2,4,4,2,5,2,5,5,0-1 years,"Adventure, Simulation, Strategy",Everyday,3-4 hours,1. Everyday,Fishing,unsure about question,4,4,3,2,3,5,5,4,5,4,1,4,1,1,4,3,4,2,3,4,4,1,1,2,4,4,3,3,5,5,5,5,5,5,1,2,2,4,1,4,2,4,5,2,5,5,5,5,5,2,2,1,3,1,5,5,1,5,4,3
398,5/25/2020 7:00,British,EU,Female,Undergraduate school,A pet,22,White,Married or domestic partnership,Out of work but not currently looking for work,Yes,More than 2 weeks,Worried,2,5,5,3,5,4,5,5,5,5,3,5,2,3,5,0-1 years,Adventure,Less than every month,2-3 hours,1. Everyday,Fishing,Close to nature,2,4,3,3,4,5,3,5,4,4,2,4,1,1,3,3,4,1,1,3,2,4,1,1,4,2,2,3,5,4,5,5,4,5,1,1,1,3,2,4,5,5,5,2,4,4,5,5,3,2,1,1,4,4,4,5,1,5,5,1
399,5/25/2020 7:01,British,EU,Male,Undergraduate school,Both,22,White,"Single, never married",A student,Yes,More than a month,Worried,5,3,5,4,5,4,5,5,4,4,5,4,4,3,5,More than 3 years,"Action, Adventure, Strategy",Everyday,4+,1. Everyday,Fishing,Asian/Polynesian,4,4,3,2,2,5,5,4,3,4,1,4,1,2,3,3,2,4,3,3,3,1,1,2,4,4,2,3,5,1,1,5,5,5,1,4,1,2,1,4,2,5,4,2,4,4,3,5,5,1,1,1,4,2,3,3,1,3,3,2
400,5/25/2020 7:01,American,US/Canada,Female,Graduate school and higher,A pet,22,White,"Single, never married",Unable to work,Yes,More than a month,Very worried,4,3,5,1,5,1,5,1,5,4,5,5,5,3,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,112,1. Everyday,Catching bugs,I love the waterfalls. So anything with that lol,4,4,3,3,4,5,5,5,5,4,3,4,1,2,3,4,4,4,4,3,4,2,3,3,4,4,4,4,5,3,5,5,5,5,2,3,2,4,1,5,5,5,4,3,4,5,5,5,5,2,2,2,5,4,5,4,2,5,5,4
426,5/25/2020 8:12,American,US/Canada,Female,Undergraduate school,Both,22,White,"Single, never married",Out of work and looking for work,Yes,More than a month,A little,4,3,4,2,4,1,5,2,5,5,4,4,1,4,5,More than 3 years,"RPG, Simulation, Strategy",Every week,3-4 hours,2. Almost everyday,Planting trees/flowers,As natural as possible,4,4,4,3,3,5,5,5,5,4,3,3,1,2,3,3,2,1,4,3,4,1,1,2,4,2,3,2,5,4,4,5,4,4,1,2,2,4,1,5,3,5,5,1,4,4,4,5,5,1,1,1,4,3,4,4,1,3,3,1
441,5/25/2020 9:22,American,US/Canada,Female,Undergraduate school,None,22,Other,"Single, never married",A student,Yes,More than a month,A little,4,4,4,5,5,2,5,5,4,5,5,5,4,5,5,More than 3 years,Simulation,Everyday,1-2 hours,1. Everyday,Terraforming,bricks,3,3,4,4,2,4,4,5,5,4,2,4,1,3,3,3,2,1,3,4,4,4,2,1,4,2,2,3,5,5,5,5,5,5,1,3,1,5,2,5,3,5,5,2,5,5,5,5,5,1,2,1,4,3,5,5,1,5,3,1
445,5/25/2020 9:37,American ,US/Canada,Female,Undergraduate school,Both,22,White,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Worried,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,More than 3 years,"Action, Adventure, RPG",Almost everyday,3-4 hours,1. Everyday,Fishing,??,4,4,4,3,3,5,5,5,5,4,1,4,1,1,4,4,3,1,3,4,4,4,3,3,4,4,3,3,4,4,4,5,5,5,1,4,3,4,2,5,1,5,4,3,4,4,4,5,4,4,4,4,3,1,3,3,3,4,2,2
467,5/25/2020 12:32,American,US/Canada,Female,Undergraduate school,None,22,White,"Single, never married",Employed for wages,Yes,More than a month,Worried,5,3,5,5,5,3,5,1,5,5,5,5,5,5,5,More than 3 years,"Action, Adventure, RPG, Simulation",Every month,9,1. Everyday,Decorating,Hippie,3,2,4,4,4,4,3,2,2,4,3,4,3,3,4,3,4,3,4,3,3,2,3,3,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3
480,5/25/2020 15:00,Filipino,Asia,Male,Undergraduate school,None,22,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Very worried,5,3,5,3,5,1,5,4,5,2,4,2,5,2,5,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,2-3 hours,2. Almost everyday,Terraforming,Nature themed,3,3,2,2,2,5,5,5,5,2,2,4,2,2,2,3,2,4,2,2,3,2,2,4,2,4,3,4,5,4,4,5,4,5,1,2,2,3,3,4,2,4,4,3,4,4,4,5,3,2,2,2,4,4,4,4,3,4,3,2
516,5/25/2020 19:56,Filipino,Asia,Female,Undergraduate school,None,22,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,4,4,3,4,1,5,4,4,4,4,4,4,3,5,More than 3 years,"Action, Adventure, RPG, Simulation",Almost everyday,6 hours+,1. Everyday,Fishing,Magical,4,4,4,1,3,5,5,5,4,4,2,4,3,2,3,3,3,4,4,2,3,1,2,4,4,3,1,3,5,4,5,5,5,5,1,3,1,3,2,5,4,5,5,1,5,5,5,5,3,1,2,1,5,5,5,5,2,5,4,3
554,5/26/2020 7:14,Filipino,Asia,Female,Undergraduate school,None,22,Asian,"Single, never married",Out of work but not currently looking for work,Yes,More than a month,Worried,3,3,3,3,4,2,4,4,4,5,4,2,4,2,4,0-1 years,"Simulation, Strategy",Almost everyday,10,1. Everyday,Fishing,Mix of nature and city ,4,4,3,3,3,5,5,5,3,3,1,4,1,2,3,4,3,1,2,2,2,2,2,2,4,4,4,4,5,5,5,5,5,5,2,1,1,4,2,5,4,5,3,1,4,5,5,5,4,1,1,1,5,4,4,5,1,5,3,1
572,5/26/2020 19:26,"German, Native American ",US/Canada,Female,Undergraduate school,Both,22,White,"Single, never married",Out of work but not currently looking for work,Yes,More than a month,Worried,4,4,2,3,5,3,5,4,5,5,3,5,2,4,5,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,3-4 hours,2. Almost everyday,Decorating/Designing my island,"half city/town, half nature/wilds ",3,1,3,4,3,4,4,4,4,4,1,4,1,2,2,4,3,1,3,4,4,4,1,3,4,2,2,1,5,5,5,5,5,5,1,5,3,5,2,5,5,5,5,2,5,5,5,5,5,2,2,1,5,3,5,5,2,5,1,1
581,5/27/2020 16:08,Filipino,Asia,Female,Undergraduate school,A pet,22,Asian,"Single, never married",Out of work and looking for work,Yes,More than a month,Very worried,5,3,4,2,5,1,5,5,3,5,4,4,5,2,5,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,8-10 hours,1. Everyday,Terraforming,Nature theme with some modern spots/areas (ex. Downtown with the shops),3,2,3,4,3,5,5,5,5,3,3,4,1,1,3,4,2,1,2,3,3,4,4,3,4,2,3,3,3,3,4,5,5,4,2,2,2,4,3,5,4,4,4,2,3,4,5,5,5,3,5,2,5,5,5,4,3,5,5,5
2,5/15/2020 18:37,Vietnam,Asia,Female,Undergraduate school,A garden,23,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,2,4,3,4,2,5,3,4,4,2,4,2,3,4,1-2 years,"Adventure, Simulation, Strategy, puzzle, trivia",Almost everyday,1-2 hours,2. Almost everyday,Planting trees/flowers,rustic,4,4,4,1,2,5,4,5,5,3,2,4,1,3,3,4,3,4,2,4,3,2,2,1,4,3,2,3,4,3,4,4,4,3,2,3,2,3,2,5,2,3,3,1,3,4,5,4,3,2,3,2,3,3,4,3,2,3,2,2
3,5/16/2020 0:21,Vietnam,Asia,Female,High school,A garden,23,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,4,3,3,4,2,4,3,4,4,4,4,3,3,4,More than 3 years,"Adventure, RPG, Strategy",Every week,3-4 hours,1. Everyday,Planting trees/flowers,Anime theme/One piece/ Persona 5,4,4,3,3,3,5,5,5,5,4,3,4,2,2,3,3,2,2,3,4,4,4,3,2,4,4,2,3,4,4,4,5,4,5,1,3,2,4,1,4,2,5,4,2,4,4,4,5,3,2,2,1,3,3,4,4,1,4,2,2
12,5/16/2020 0:52,Vietnam,Asia,Male,High school,None,23,Asian,"Single, never married",A student,No,No self-isolation/social distancing,Worried,5,4,4,3,5,2,3,5,4,5,5,5,4,3,5,More than 3 years,"Action, RPG, Simulation",Everyday,2-3 hours,2. Almost everyday,Talking with villagers and contemplating the scenery,My old video game. A game about farming and rural area,4,3,2,4,2,3,4,3,5,4,2,4,1,2,3,3,2,3,1,2,4,1,2,1,4,1,1,3,4,2,1,4,4,5,1,3,2,1,1,4,3,5,2,1,3,3,4,5,2,1,1,1,3,1,4,3,1,4,2,1
23,5/16/2020 3:14,Vietnam,Asia,Male,High school,None,23,Asian,"Single, never married",Self-employed,No,No self-isolation/social distancing,Worried,3,4,1,5,1,5,2,5,3,5,2,3,2,4,2,More than 3 years,"Action, Adventure, Simulation, Strategy",Everyday,"Very much , about 6-7 hours per day",1. Everyday,Terraforming,Like natural resorts,2,2,2,2,1,4,4,4,4,4,1,4,1,1,2,4,2,1,1,2,3,1,1,3,1,2,1,1,3,3,3,3,2,3,1,3,2,2,1,3,1,3,3,1,3,3,3,3,3,1,1,1,2,3,3,3,1,3,1,1
37,5/16/2020 15:15,Vieynam,Asia,Male,Graduate school and higher,A pet,23,Asian,"Single, never married",Employed for wages,Yes,No self-isolation/social distancing,Very worried,3,5,2,3,3,4,2,5,2,4,1,4,2,3,3,More than 3 years,"Action, Adventure, Simulation, Strategy",Almost every week,2-3 hours,2. Almost everyday,Terraforming,Garden,3,3,3,3,3,2,2,2,3,3,3,4,1,1,4,4,4,4,3,4,4,4,3,4,4,4,4,2,3,2,1,2,2,3,1,3,3,3,1,2,1,3,3,1,3,3,3,3,3,1,1,1,1,1,3,3,1,1,1,1
40,5/16/2020 17:16,Vietnamese,Asia,Male,Undergraduate school,Both,23,Asian,"Single, never married",A student,Yes,4 days,A little,2,2,3,4,4,2,2,3,2,3,2,2,3,4,3,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,1-2 hours,6. Less than every month,Fishing,Farmer house theme,3,4,4,2,2,4,3,4,4,4,4,2,2,3,4,4,4,3,2,3,3,2,2,3,2,2,3,4,4,2,3,4,5,4,2,2,2,2,2,3,4,2,3,2,2,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3
44,5/16/2020 22:35,Vietnamese,Asia,Male,Undergraduate school,Both,23,Asian,"Single, never married",A student,Yes,4 days,A little,2,2,3,4,4,2,2,3,2,3,2,2,3,4,3,More than 3 years,"Action, Adventure, RPG, Strategy",Almost everyday,1-2 hours,6. Less than every month,Fishing,Farmer house theme,3,4,4,2,2,4,3,4,4,4,4,2,2,3,4,4,4,3,2,3,3,2,2,3,2,2,3,4,4,2,3,4,5,4,2,2,2,2,2,3,4,2,3,2,2,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3
45,5/17/2020 9:35,Vietnamese,Asia,Male,Graduate school and higher,A garden,23,Asian,"Single, never married",A student,Yes,More than a month,Very worried,2,4,5,3,4,1,3,4,3,4,4,4,5,2,4,More than 3 years,"Action, Adventure, RPG, Sports",Almost everyday,3-4 hours,2. Almost everyday,Fishing,Japanese Style,2,4,3,4,4,5,5,5,5,4,2,4,2,2,3,4,4,1,3,3,4,2,3,2,3,4,2,3,5,3,4,5,5,5,4,4,3,4,3,5,3,5,3,3,4,5,5,5,4,1,1,1,2,3,4,3,3,4,3,2
54,5/20/2020 3:19,Vietnamese,Asia,Female,Undergraduate school,A pet,23,Asian,"Single, never married",Employed for wages,No,More than a month,Worried,3,4,4,2,4,4,4,2,4,4,3,4,3,4,4,2-3 years,"Simulation, Strategy",Less than every month,1-2 hours,3. Every week,Terraforming,Build designated buildings and recreation arena,4,4,4,4,2,4,4,4,4,4,1,4,3,1,4,4,2,4,4,4,3,1,3,4,1,1,1,1,4,4,4,4,3,4,1,2,3,4,2,5,1,2,2,2,4,4,4,4,4,2,2,2,3,2,2,2,2,5,2,1
66,5/20/2020 23:40,Filipino,Asia,Male,Undergraduate school,Both,23,Asian,"Single, never married",Out of work but not currently looking for work,Yes,More than a month,Very worried,4,2,4,1,5,2,4,4,5,5,5,2,5,4,5,More than 3 years,"RPG, Simulation, Sports",Everyday,3-4 hours,1. Everyday,Fishing,I'm basing off my island from the game Persona 5,3,3,2,2,2,5,5,5,1,4,2,4,2,2,4,4,2,1,2,2,1,1,1,1,4,3,4,3,5,4,4,5,5,5,2,2,1,5,1,5,3,5,3,2,4,3,5,5,5,2,1,1,4,5,5,5,2,4,1,1
143,5/21/2020 5:02,America,US/Canada,Female,Undergraduate school,Both,23,White,"Single, never married",A student,No,No self-isolation/social distancing,Very worried,4,3,4,1,4,2,3,2,5,1,5,2,3,1,5,1-2 years,"Adventure, RPG",Every week,2-3 hours,3. Every week,Planting trees/flowers,Animation finishing,2,2,4,2,3,4,3,2,4,3,4,2,3,4,3,3,1,2,2,2,2,3,3,2,2,3,4,3,3,4,3,4,3,2,3,4,4,3,3,5,4,3,4,3,4,3,3,3,3,2,3,2,2,2,3,2,2,1,1,3
145,5/21/2020 5:20,USA,US/Canada,Male,Undergraduate school,Both,23,White,"Single, never married",Out of work but not currently looking for work,Yes,More than a month,Very worried,4,2,3,1,4,4,5,2,3,2,2,1,5,3,2,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,1-2 hours,1. Everyday,Terraforming,Terrain reconstruction,2,3,3,4,3,3,4,3,4,3,2,2,4,3,3,2,3,4,3,2,2,3,3,4,3,2,3,3,3,4,3,3,5,4,3,4,2,3,2,4,3,4,3,4,5,4,3,3,4,2,1,2,2,2,4,3,1,4,3,2
167,5/21/2020 7:46,United States,US/Canada,Female,Graduate school and higher,Both,23,White,"Single, never married",Employed for wages,Yes,More than a month,Very worried,3,4,5,3,5,2,5,5,5,5,5,5,5,5,5,More than 3 years,"Action, RPG, Simulation",Every week,2-3 hours,1. Everyday,Decorating,I love a tropical island theme.,3,3,4,4,3,3,3,3,3,4,1,4,2,3,4,4,3,2,3,3,2,3,3,1,3,4,3,4,5,4,5,5,5,5,1,2,2,4,2,5,4,5,4,2,4,4,4,5,4,2,2,1,4,2,5,5,1,5,4,1
233,5/23/2020 2:11,Chinese,Asia,Female,Graduate school and higher,A pet,23,Asian,"Single, never married",Employed for wages,Yes,More than a month,Worried,5,4,5,1,5,3,5,5,5,5,5,5,5,3,5,More than 3 years,"RPG, Simulation",Everyday,3-4 hours,1. Everyday,Decorating,Urban and natural,3,3,4,4,4,5,5,5,5,4,1,4,1,4,4,4,4,1,2,4,4,1,1,1,4,4,1,1,5,5,4,5,5,5,3,3,4,4,1,5,5,5,5,1,5,5,5,5,5,3,3,3,5,3,5,5,3,5,3,3
244,5/23/2020 17:08,Vietnam,Asia,Female,Undergraduate school,A garden,23,Asian,"Single, never married",Self-employed,Yes,More than a month,Worried,3,2,4,3,5,3,5,3,4,4,2,5,2,3,4,1-2 years,"Adventure, Simulation, Strategy",Almost everyday,2-3 hours,2. Almost everyday,Planting trees/flowers,pastoral,4,4,4,4,3,5,5,5,5,2,2,4,2,2,3,4,4,1,3,4,4,2,2,2,4,3,2,3,3,3,4,4,4,3,2,3,2,4,2,5,2,4,3,1,3,5,4,4,3,2,2,2,3,4,4,3,2,4,3,2
248,5/23/2020 21:29,indonesian,Asia,Female,Undergraduate school,None,23,Asian,"Single, never married",Out of work and looking for work,Yes,More than a month,Very worried,3,4,5,3,5,3,5,4,5,3,3,4,4,3,5,More than 3 years,Simulation,Less than every month,2-3 hours,1. Everyday,Catching bugs,cottagecore or studio ghibli themed islands ,4,2,3,3,3,5,5,5,5,4,3,4,2,1,3,3,3,3,3,4,3,2,2,3,3,4,3,2,5,5,5,5,5,5,1,3,2,3,1,5,4,5,5,2,3,5,5,5,5,2,2,1,4,3,3,4,2,4,2,1
254,5/24/2020 22:14,British ,EU,Female,Undergraduate school,None,23,White,Married or domestic partnership,Employed for wages,Yes,More than a month,Worried,4,4,5,4,5,2,4,4,5,5,4,3,4,4,5,1-2 years,"Simulation, Strategy",Everyday,5-6 hours,1. Everyday,Fishing,Natural,3,4,3,3,2,5,5,4,2,4,1,4,1,2,2,3,3,1,3,4,3,1,2,2,4,2,1,2,4,3,5,5,5,5,2,2,1,4,3,4,4,4,3,1,4,4,4,4,3,2,2,1,4,3,5,5,2,3,4,2
285,5/25/2020 0:16,British,EU,Female,Undergraduate school,A pet,23,White,Married or domestic partnership,A student,No,More than a month,Worried,4,5,4,3,5,2,4,4,4,5,4,4,4,3,5,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,3-4 hours,2. Almost everyday,Planting trees/flowers,The water feature!,4,2,4,4,3,2,5,5,5,3,1,4,1,4,4,4,3,1,3,4,4,3,1,2,3,3,4,3,4,3,4,5,5,5,1,4,2,3,2,5,5,5,4,1,4,4,4,4,2,1,1,1,4,3,3,4,2,4,3,2
290,5/25/2020 0:24,Filipino,Asia,Female,Undergraduate school,A pet,23,Asian,"Single, never married",Out of work and looking for work,No,More than a month,Very worried,4,4,4,2,4,1,4,5,5,4,5,5,4,2,4,More than 3 years,RPG,Almost every week,3-4 hours,1. Everyday,Fishing,Tropical inspired,3,4,4,3,2,5,5,5,5,4,1,4,2,4,4,3,2,1,4,4,4,1,1,1,4,4,2,2,5,5,4,5,5,5,1,1,1,3,1,5,4,5,4,1,4,4,4,5,4,1,1,1,5,3,5,5,1,5,4,1
292,5/25/2020 0:26,Filipino,Asia,Female,Undergraduate school,A pet,23,Asian,"Single, never married",Employed for wages,Yes,More than a month,Very worried,4,4,4,3,4,1,5,4,5,4,4,4,4,3,5,More than 3 years,"Adventure, Simulation, Sports",Almost everyday,3-4 hours,1. Everyday,Terraforming,Japan Themed,3,4,4,4,4,5,5,5,5,4,2,3,1,2,4,4,2,4,3,4,4,4,4,1,4,4,2,3,5,5,5,5,5,5,1,2,1,5,4,4,4,5,5,1,5,5,5,5,5,1,2,1,3,3,4,4,3,4,3,2
297,5/25/2020 0:31,Filipino,Asia,Male,Graduate school and higher,Both,23,Asian,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Very worried,4,3,5,1,5,1,5,1,3,1,5,3,4,1,5,More than 3 years,"Action, Adventure, RPG, Strategy",Everyday,8 Hours hehe,1. Everyday,Fishing,Toy Island if Possible,2,4,2,2,4,5,5,3,3,4,2,4,1,1,3,4,2,1,3,3,2,3,2,1,4,4,4,4,5,3,3,5,5,5,2,2,1,5,3,3,4,5,3,1,5,5,5,5,5,1,1,1,5,5,5,5,1,5,3,1
