,Gamer_ID,Date of Entry,A1_1,Grouped A1_1,A1_2,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,C1,C2,CC2,C3,C4,Corrected C4,C5,C6,CC6,C7,C8,CC8,C9,C10,CC10,C11,C12,CC12,C13,C14,CC14,C15,Weighted Score,Good or Bad,D1,D2,D3,D4,D5,D6,D7,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,Action,Adventure,FPS,Fighting,Pointandclick,RPG,Simulation,Sports,Story-driven,Strategy,Variedthemesallinonegameex:recroom,puzzle,vrchat
180,181,5/21/2020 13:27,USA,American,US/Canada,Male,Undergraduate school,A pet,32,White,Married or domestic partnership,Employed for wages,No,No self-isolation/social distancing,A little,3,5,0,2,3,2,5,2,3,1,4,1,3,4,1,1,4,1,4,3,2,1,2,Bad,1-2 years,"Action, Simulation, Strategy",Every week,2.5,3. Every week,Fishing,Other,2,4,3,3,2,3,5,4,2,2,3,1,2,3,3,1,2,3,2,2,4,3,3,2,2,1,2,3,3,5,4,2,3,4,5,4,3,1,2,3,4,3,1,2,2,4,3,1,2,3,4,3,1,2,3,4,3,1,2,2,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No
181,182,5/21/2020 14:43,USA,American,US/Canada,Female,Undergraduate school,A garden,29,White,Married or domestic partnership,Employed for wages,No,7 days,A little,3,5,0,3,1,4,4,4,1,3,2,3,1,4,1,5,3,2,4,4,1,3,2.533333333,Bad,1-2 years,Simulation,Every week,2.5,5. Every month,Fishing,Other,2,4,3,1,2,2,4,3,2,2,4,3,3,4,3,1,2,3,2,2,4,3,3,4,3,1,2,3,3,1,2,4,3,2,4,3,4,3,4,1,2,4,5,4,2,3,3,1,2,4,5,3,2,3,4,3,1,2,4,3,No,No,No,No,No,No,Yes,No,No,No,No,No,No
182,183,5/21/2020 16:54,uk,British,EU,Male,Undergraduate school,Both,32,White,"Single, never married",Employed for wages,Yes,More than 3 weeks,Worried,4,1,4,5,1,4,4,2,3,5,2,3,4,2,3,5,2,3,5,2,3,5,4,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,2. Almost everyday,Planting trees/flowers,none,3,3,3,4,3,4,4,4,5,3,3,3,4,4,3,2,4,4,3,3,3,3,4,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,5,5,5,4,4,3,2,3,4,4,3,3,4,4,5,4,3,4,4,5,5,4,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
183,184,5/21/2020 17:01,usa,American,US/Canada,Male,Graduate school and higher,Both,26,White,Married or domestic partnership,Employed for wages,Yes,More than a week,Worried,4,1,4,5,2,3,3,2,3,4,1,4,4,3,2,4,2,3,3,2,3,5,3.6,Good,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,3. Every week,Catching bugs,jungle,3,3,3,4,3,4,3,4,4,4,4,3,3,4,3,3,3,4,3,4,4,4,3,3,3,3,3,4,4,3,3,3,4,4,4,4,3,3,4,4,4,5,5,5,4,3,4,4,4,3,4,5,4,4,3,3,3,4,5,5,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
184,185,5/21/2020 17:06,usa,American,US/Canada,Male,Graduate school and higher,Both,32,White,Married or domestic partnership,Employed for wages,Yes,More than 3 weeks,Very worried,5,2,3,4,2,3,4,1,4,4,1,4,4,3,2,4,2,3,4,1,4,4,3.733333333,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,3. Every week,Planting trees/flowers,desert,3,3,3,4,3,4,3,3,5,4,4,3,3,4,3,3,3,4,3,3,3,4,4,3,3,3,4,3,4,4,4,3,2,3,3,4,5,4,4,4,3,4,4,4,5,5,5,4,4,3,3,3,4,5,4,4,4,3,4,5,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
185,186,5/21/2020 17:11,usa,American,US/Canada,Male,Undergraduate school,Both,22,Asian,Married or domestic partnership,Employed for wages,Yes,More than a month,Worried,5,2,3,5,2,3,3,2,3,4,1,4,5,2,3,3,2,3,4,1,4,4,3.733333333,Good,More than 3 years,"Adventure, RPG, Simulation, Strategy, Sports",Every week,2.5,2. Almost everyday,Catching bugs,swamp,3,3,4,4,3,4,5,5,5,3,4,4,4,3,3,3,3,4,3,4,4,4,3,3,3,3,3,4,4,3,4,4,5,5,5,4,3,4,4,5,4,3,3,3,4,4,4,5,5,4,4,3,3,3,5,4,4,4,4,5,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
186,187,5/21/2020 17:13,US,American,US/Canada,Male,Undergraduate school,Both,30,White,Married or domestic partnership,Employed for wages,No,No self-isolation/social distancing,Worried,4,4,1,4,4,1,4,2,3,5,4,1,5,4,1,4,4,1,4,4,1,3,2.8,Bad,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2.5,2. Almost everyday,Fishing,free,3,4,2,2,4,5,4,3,3,1,3,4,4,1,3,3,3,4,3,3,2,3,4,4,3,3,4,4,3,3,4,4,3,5,3,3,2,3,1,4,4,4,3,1,3,5,4,4,2,2,1,1,3,2,2,3,4,4,2,2,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
187,188,5/21/2020 17:14,usa,American,US/Canada,Male,High school,Both,27,Black or African American,Married or domestic partnership,Employed for wages,Yes,More than 2 weeks,Worried,4,1,4,5,2,3,3,2,3,5,1,4,4,1,4,4,3,2,4,1,4,4,3.8,Good,More than 3 years,Other,Almost everyday,3.5,2. Almost everyday,Terraforming,none,3,3,4,4,3,4,4,4,5,3,3,3,3,4,4,4,3,3,4,4,3,3,3,4,4,3,3,4,4,4,3,3,4,4,5,4,3,3,4,4,5,5,4,4,4,3,3,4,4,5,5,5,4,4,5,5,5,5,4,4,No,No,No,No,No,No,No,No,No,No,No,No,No
188,189,5/21/2020 17:18,usa,American,US/Canada,Male,Undergraduate school,Both,29,Black or African American,Widowed,Employed for wages,Yes,More than a week,Worried,4,1,4,5,2,3,3,2,3,5,2,3,5,2,3,4,2,3,5,3,2,5,3.8,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Almost everyday,3.5,3. Every week,Fishing,islands,3,3,4,4,3,4,4,4,5,4,4,4,3,3,4,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,3,4,4,5,4,4,3,3,3,4,5,4,4,3,4,5,4,4,4,3,3,3,4,5,4,4,3,4,4,5,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
189,190,5/21/2020 17:23,usa,American,US/Canada,Male,Graduate school and higher,Both,29,White,Married or domestic partnership,Employed for wages,Yes,More than 2 weeks,Worried,4,2,3,5,2,3,4,3,2,5,2,3,5,2,3,3,2,3,5,1,4,4,3.733333333,Good,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,2. Almost everyday,Terraforming,lake,3,3,3,4,3,4,4,4,5,3,3,3,4,3,4,3,3,3,4,3,3,3,4,4,3,4,4,3,4,3,3,4,4,5,4,5,4,3,3,4,4,5,3,2,3,4,4,4,4,5,4,4,3,4,4,4,5,3,3,4,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
190,191,5/21/2020 17:27,usa,American,US/Canada,Male,High school,Both,30,Hispanic or Latino,Married or domestic partnership,Employed for wages,Yes,More than 3 weeks,Worried,5,2,3,3,2,3,5,2,3,3,2,3,4,1,4,4,3,2,4,2,3,5,3.6,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,2. Almost everyday,Planting trees/flowers,mountain ridge,3,3,3,4,4,5,5,5,4,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,4,4,3,3,4,4,4,3,3,4,4,5,5,4,3,4,4,4,5,5,4,3,4,4,5,5,4,4,3,4,4,3,4,4,5,4,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
191,192,5/21/2020 17:35,usa,American,US/Canada,Male,Graduate school and higher,Both,32,White,Married or domestic partnership,Employed for wages,Yes,7 days,Worried,4,2,3,5,2,3,3,2,3,4,1,4,4,3,2,5,1,4,4,2,3,5,3.733333333,Good,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,2. Almost everyday,Planting trees/flowers,Grassland,4,4,3,3,3,4,5,5,5,4,4,3,3,4,3,3,3,4,4,4,4,3,2,3,3,3,4,4,4,4,3,4,4,5,4,4,3,3,4,5,5,4,4,3,4,4,5,5,4,3,4,5,5,5,4,4,3,2,4,4,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
192,193,5/21/2020 17:38,usa,American,US/Canada,Male,Graduate school and higher,Both,34,Hispanic or Latino,Married or domestic partnership,Employed for wages,Yes,5 days,Worried,4,3,2,4,1,4,5,2,3,3,2,3,5,2,3,3,2,3,4,1,4,4,3.6,Good,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,1. Everyday,Catching bugs,Snow Mountain,3,4,4,4,3,4,4,4,5,4,4,4,3,3,3,2,3,3,4,3,3,3,4,3,4,4,4,3,4,4,3,3,3,4,4,5,4,4,3,3,4,5,5,4,4,3,4,4,5,5,5,4,3,4,4,4,5,4,4,3,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
193,194,5/21/2020 17:42,usa,American,US/Canada,Male,Graduate school and higher,Both,32,White,Married or domestic partnership,Employed for wages,Yes,More than 2 weeks,Worried,5,1,4,5,2,3,4,1,4,4,1,4,4,3,2,4,1,4,5,2,3,3,3.866666667,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,2. Almost everyday,Catching bugs,sea,3,3,3,4,4,4,5,5,5,3,2,3,3,4,4,4,4,3,3,3,3,3,4,3,4,4,4,3,4,4,4,5,5,5,4,4,5,5,4,4,5,3,3,3,4,4,5,4,4,3,2,3,3,3,4,4,3,4,4,5,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
194,195,5/21/2020 17:46,Mixed nationalities,Other,Other,Male,Graduate school and higher,Both,34,White,Married or domestic partnership,Employed for wages,Yes,More than a week,Worried,4,3,2,4,1,4,5,2,3,4,1,4,4,3,2,4,1,4,4,2,3,5,3.733333333,Good,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,2.5,2. Almost everyday,Planting trees/flowers,Snow Mountain,3,3,3,4,3,4,4,4,5,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,5,4,4,3,3,4,4,4,5,5,3,4,3,4,4,4,5,5,4,3,4,5,5,4,3,4,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
195,196,5/21/2020 17:51,usa,American,US/Canada,Male,Undergraduate school,Both,24,White,Married or domestic partnership,Employed for wages,Yes,More than 2 weeks,Worried,4,2,3,5,2,3,4,2,3,5,3,2,4,1,4,4,2,3,5,2,3,4,3.733333333,Good,2-3 years,"Action, Adventure, RPG, Simulation, Strategy, Sports",Almost everyday,3.5,2. Almost everyday,Fishing,none,3,3,3,3,4,5,5,5,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,3,3,3,4,3,4,4,4,5,4,4,4,5,4,4,3,4,5,5,5,4,3,4,5,5,5,5,4,3,3,4,5,4,4,5,5,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No
196,197,5/21/2020 18:27,us,American,US/Canada,Female,Undergraduate school,A garden,26,White,Married or domestic partnership,Employed for wages,Yes,More than a month,Worried,4,2,3,4,3,2,4,2,3,3,3,2,5,4,1,2,4,1,3,4,1,4,2.8,Bad,2-3 years,"Adventure, Simulation, Sports",Almost everyday,3.5,3. Every week,Fishing,naturally,2,4,3,3,2,5,4,4,4,2,3,1,2,2,3,2,2,2,1,3,3,3,2,1,3,3,3,3,4,4,3,3,3,4,4,3,1,4,1,4,4,5,4,1,4,5,5,5,5,2,2,2,1,3,4,4,2,4,2,2,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No
197,198,5/21/2020 18:38,United States,American,US/Canada,Male,Graduate school and higher,A pet,28,Hispanic or Latino,"Single, never married",Self-employed,Yes,More than 2 weeks,Very worried,4,4,1,4,2,3,4,2,3,3,2,3,3,5,0,3,4,1,4,2,3,4,2.866666667,Bad,More than 3 years,"Action, RPG, Sports",Every week,1.5,3. Every week,Planting trees/flowers,hilly area,2,2,3,2,2,3,3,4,4,2,3,2,3,3,2,3,2,2,1,2,2,3,3,1,2,3,2,3,3,2,4,3,2,3,2,3,2,2,3,3,3,3,2,3,4,2,3,3,2,3,2,2,2,2,3,2,2,4,2,3,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No
198,199,5/21/2020 18:49,usa,American,US/Canada,Female,Undergraduate school,A pet,31,White,Married or domestic partnership,Out of work and looking for work,Yes,More than a month,Worried,4,4,1,5,3,2,5,1,4,4,2,3,5,4,1,4,4,1,4,3,2,4,3.266666667,Good,More than 3 years,"Action, Adventure",Almost everyday,2.5,4. Almost every week,Planting trees/flowers,landscape,2,2,3,2,2,3,2,3,4,2,2,3,3,2,2,3,2,2,2,3,3,3,2,2,3,2,3,3,4,4,3,4,4,4,3,5,2,2,2,4,4,4,3,2,4,4,4,4,3,2,1,2,2,3,3,4,2,3,2,3,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
199,200,5/21/2020 19:25,us,American,US/Canada,Female,High school,None,25,White,"Single, never married",Employed for wages,Yes,More than a month,Worried,4,3,2,4,1,4,4,3,2,4,3,2,4,4,1,3,2,3,4,1,4,5,3.333333333,Good,1-2 years,"Adventure, Simulation",Almost everyday,2.5,3. Every week,Fishing,all OK,2,4,3,2,2,5,3,4,4,2,3,3,2,3,4,3,1,2,2,2,3,3,2,1,3,2,2,2,3,4,4,3,2,4,2,3,2,3,2,4,3,3,4,2,3,3,4,3,4,2,2,2,3,3,4,3,2,3,2,3,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
200,201,5/21/2020 20:24,Korean/ American,American,US/Canada,Male,High school,Both,30,Pacific Islander,"Single, never married",Out of work but not currently looking for work,Yes,More than a month,Worried,4,2,3,4,1,4,5,2,3,5,5,0,5,5,0,4,1,4,2,2,3,5,3.4,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,6.5,1. Everyday,Decorating and nature landscaping,"Natural, minimal terraforming.",2,3,2,2,4,4,3,4,3,4,2,4,1,1,2,3,3,1,3,3,2,1,1,1,3,4,2,2,4,4,4,3,5,3,2,4,4,4,1,5,5,4,4,3,4,5,4,4,5,4,3,2,5,2,5,3,2,5,5,4,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
201,202,5/21/2020 22:40,US,American,US/Canada,Female,Undergraduate school,Both,28,White,"Single, never married",Employed for wages,No,No self-isolation/social distancing,Worried,4,1,4,4,2,3,5,1,4,3,2,3,4,1,4,3,3,2,1,2,3,5,3.466666667,Good,More than 3 years,"Adventure, RPG, Simulation",Almost everyday,3.5,2. Almost everyday,Fishing,pink,2,1,3,3,2,3,1,4,5,3,2,3,4,3,3,2,3,3,2,2,3,4,3,2,2,3,2,2,5,4,5,5,4,3,1,1,1,1,1,4,4,3,4,1,4,3,5,3,4,1,1,1,3,4,5,4,1,4,1,1,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
202,203,5/21/2020 23:37,US,American,US/Canada,Female,Undergraduate school,A pet,30,White,Married or domestic partnership,Employed for wages,Yes,More than a month,Very worried,3,2,3,5,4,1,3,2,3,2,3,2,3,4,1,4,1,4,2,3,2,4,2.8,Bad,More than 3 years,"Action, Adventure, RPG, Simulation",Every week,2.5,3. Every week,Catching bugs,All like,4,3,3,4,4,3,4,4,5,2,3,2,4,4,2,3,4,4,3,2,3,3,4,4,2,2,3,4,3,4,5,4,3,5,5,4,2,3,4,5,4,4,3,5,5,2,3,4,5,3,2,3,5,3,2,4,4,3,2,3,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
203,204,5/22/2020 0:16,US,American,US/Canada,Male,Undergraduate school,A pet,30,White,Married or domestic partnership,Employed for wages,Yes,More than a month,A little,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,3,2,4,2.733333333,Bad,More than 3 years,"Action, RPG, Simulation, Strategy",Every week,1.5,3. Every week,Catching bugs,Other,4,3,3,2,2,4,3,3,4,3,2,3,2,3,3,2,2,3,2,3,2,2,3,2,3,4,3,2,3,4,2,3,4,2,3,3,2,4,3,3,4,2,3,3,4,3,3,4,3,3,4,3,3,4,2,3,3,2,3,4,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
204,205,5/22/2020 0:28,United States,American,US/Canada,Male,Undergraduate school,Both,31,White,Married or domestic partnership,Out of work and looking for work,No,No self-isolation/social distancing,Worried,4,1,4,4,3,2,5,2,3,5,2,3,3,1,4,4,1,4,3,2,3,5,3.733333333,Good,More than 3 years,"Action, Adventure, RPG, Strategy, Sports",Almost everyday,1.5,3. Every week,Terraforming,The game more lifelike screen smooth experience.,3,4,3,3,2,4,3,5,4,3,4,2,3,3,2,3,2,1,2,3,4,3,4,2,3,2,4,2,4,5,4,3,5,4,3,4,2,4,3,5,4,3,5,2,4,3,5,4,3,2,4,3,2,5,4,4,2,4,2,3,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No
205,206,5/22/2020 0:39,US,American,US/Canada,Male,Graduate school and higher,A pet,29,White,Married or domestic partnership,Employed for wages,Yes,More than a week,Worried,3,2,3,3,3,2,2,3,2,4,2,3,3,4,1,3,2,3,3,3,2,2,2.6,Bad,2-3 years,"RPG, Simulation, Strategy",Almost everyday,1.5,2. Almost everyday,Fishing,none,2,4,3,2,3,4,3,4,2,2,3,2,2,3,2,3,2,2,3,3,2,2,3,2,3,2,2,3,3,4,2,3,4,3,3,4,2,3,3,4,3,2,3,4,3,2,3,4,3,2,3,2,4,3,2,3,4,2,3,2,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
206,207,5/22/2020 0:47,US,American,US/Canada,Male,Graduate school and higher,A garden,32,White,Married or domestic partnership,Employed for wages,No,No self-isolation/social distancing,A little,3,2,3,2,3,2,2,2,3,3,4,1,4,3,2,3,4,1,3,2,3,3,2.533333333,Bad,1-2 years,RPG,Almost every week,1.5,6. Less than every month,Planting trees/flowers,NO,2,3,4,2,2,3,2,4,5,2,1,1,3,4,3,4,1,2,1,4,3,2,3,2,2,3,3,2,4,3,2,3,2,4,2,3,1,3,2,3,2,4,3,2,4,4,3,3,4,1,2,1,2,3,4,3,2,4,2,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No
207,208,5/22/2020 1:29,US,American,US/Canada,Male,Graduate school and higher,A pet,30,White,Married or domestic partnership,Employed for wages,No,No self-isolation/social distancing,A little,3,4,1,1,3,2,2,3,2,4,3,2,3,2,3,3,4,1,4,3,2,3,2.4,Bad,2-3 years,Adventure,Every week,1.5,6. Less than every month,Terraforming,no,2,3,2,4,2,3,2,3,4,3,2,1,3,4,2,2,1,2,1,3,2,2,3,1,3,2,4,3,4,3,2,3,2,4,3,4,2,3,2,3,2,4,3,2,4,4,3,3,4,2,2,1,2,3,2,3,2,3,1,3,No,Yes,No,No,No,No,No,No,No,No,No,No,No
208,209,5/22/2020 1:38,Dutch,Dutch,EU,Male,Graduate school and higher,A garden,34,Asian,"Single, never married",Employed for wages,Yes,More than a month,A little,3,3,2,2,2,3,4,2,3,4,3,2,4,4,1,4,5,0,2,3,2,3,2.6,Bad,More than 3 years,"Adventure, RPG, Strategy",Everyday,3.5,1. Everyday,Fishing,Natural,4,4,4,4,4,4,4,4,3,4,3,4,1,4,3,4,2,4,4,4,4,3,3,1,4,3,4,4,5,5,5,5,5,5,1,1,1,5,1,5,3,5,4,1,4,5,5,5,3,1,1,1,5,3,4,5,1,5,4,2,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
209,210,5/22/2020 1:40,Canadian,Canadian,US/Canada,Female,High school,None,22,White,"Single, never married",Self-employed,Yes,More than a month,Worried,5,2,3,4,3,2,5,2,3,5,4,1,5,5,0,4,5,0,4,4,1,5,3.133333333,Good,More than 3 years,"Action, Adventure, RPG, Simulation, Strategy",Everyday,3.5,1. Everyday,Designing/decorating,Not sure,3,2,3,4,2,5,5,5,5,4,1,4,1,1,4,4,4,1,1,4,4,2,1,1,4,3,1,3,5,5,4,5,5,5,3,2,3,5,2,5,4,5,5,2,4,5,5,5,5,3,3,3,4,3,4,4,3,5,4,2,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
210,211,5/22/2020 1:42,American,American,US/Canada,Female,High school,Both,26,Hispanic or Latino,Married or domestic partnership,Self-employed,Yes,More than a month,Worried,3,2,3,5,1,4,4,2,3,5,2,3,5,5,0,3,4,1,5,1,4,4,3.466666667,Good,More than 3 years,"Action, Adventure, RPG, Simulation",Everyday,1.5,1. Everyday,Interior Design,Natural/outdoor look,3,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,2,3,4,4,4,4,4,5,5,5,5,5,1,2,1,5,2,5,4,5,5,1,5,5,5,4,5,1,1,1,2,3,5,5,2,5,4,1,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
211,212,5/22/2020 1:45,Indonesia ,Indonesian ,Asia,Female,Undergraduate school,None,24,Asian,"Single, never married",Employed for wages,Yes,More than a month,Very worried,5,3,2,5,3,2,5,2,3,5,4,1,4,4,1,4,4,1,4,2,3,5,3.333333333,Good,More than 3 years,Simulation,Almost everyday,3.5,1. Everyday,Terraforming,Beach island vibe,3,3,4,4,4,5,5,5,3,4,2,4,1,1,4,4,4,4,4,4,3,3,1,3,4,4,2,2,5,4,4,5,5,5,1,2,2,5,1,5,3,5,5,1,4,5,5,5,4,1,1,1,4,3,5,5,1,5,3,2,No,No,No,No,No,No,Yes,No,No,No,No,No,No
212,213,5/22/2020 1:55,Asian,Chinese,Asia,Female,Undergraduate school,A pet,22,Asian,"Single, never married",A student,Yes,More than a month,Worried,3,4,1,4,3,2,4,1,4,4,3,2,3,2,3,3,1,4,4,2,3,4,3.2,Good,More than 3 years,"Action, Adventure, Strategy, FPS MMORPG",Everyday,2.5,2. Almost everyday,Fishing,Natural,3,4,3,4,2,5,3,5,3,4,1,4,1,4,3,4,1,4,3,3,2,2,2,4,4,4,4,4,5,4,4,5,5,5,2,2,2,4,1,5,5,5,5,1,4,5,5,5,5,2,2,1,5,5,5,5,2,5,2,1,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No
213,214,5/22/2020 2:36,Canadian,Canadian,US/Canada,Female,Undergraduate school,Both,29,Asian,"Single, never married",Employed for wages,Yes,More than a month,Very worried,5,2,3,4,3,2,5,3,2,2,3,2,4,5,0,3,2,3,4,3,2,5,3.066666667,Bad,More than 3 years,"Adventure, RPG, Simulation, Strategy",Everyday,6,1. Everyday,Trading with other players ,"“Cottagecore” - natural, forest themed, rustic look",4,2,3,4,3,5,5,5,5,4,3,4,1,2,3,2,3,1,2,3,4,4,1,4,4,3,3,4,5,4,4,5,5,5,2,3,2,4,3,5,5,5,4,1,5,3,4,5,5,3,1,3,5,3,5,5,3,5,5,1,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No
214,215,5/22/2020 3:06,American,American,US/Canada,Female,Undergraduate school,A pet,27,White,"Single, never married",Out of work and looking for work,Yes,More than a month,Very worried,4,3,2,4,3,2,5,2,3,4,5,0,5,5,0,3,4,1,4,3,2,5,2.933333333,Bad,More than 3 years,"Action, Adventure, RPG",Everyday,3.5,1. Everyday,Decorating,I'm not sure what this question is asking,4,3,3,4,2,5,5,3,2,4,3,4,1,1,3,4,3,1,1,4,4,2,2,2,4,2,2,3,5,4,4,5,5,5,2,1,2,3,2,5,5,5,4,2,5,4,4,5,4,2,1,1,4,4,5,5,2,4,4,1,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
215,216,5/22/2020 5:36,American,American,US/Canada,Male,Graduate school and higher,A pet,37,Asian,Married or domestic partnership,Out of work and looking for work,Yes,More than a month,Worried,3,3,2,4,2,3,4,2,3,3,4,1,4,4,1,4,3,2,4,2,3,4,3,Bad,More than 3 years,"Action, RPG, Strategy",Everyday,1.5,1. Everyday,Terraforming,Waterfalls,3,3,3,3,3,3,3,5,4,4,2,4,1,2,3,3,3,1,1,4,4,2,2,1,3,4,1,2,5,5,5,5,5,5,2,2,2,4,1,4,3,4,4,2,4,4,4,4,4,1,1,1,4,3,4,4,1,4,1,1,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No
216,217,5/22/2020 7:31,USA,American,US/Canada,Female,Graduate school and higher,None,24,White,"Single, never married",Employed for wages,Yes,More than a month,Worried,2,3,2,3,2,3,4,2,3,5,5,0,4,5,0,4,5,0,3,3,2,4,2.6,Bad,More than 3 years,"Adventure, Simulation",Everyday,1.5,1. Everyday,Doing daily chores and talking to villagers,Not sure,3,2,2,2,2,4,4,4,5,4,1,3,1,2,3,3,3,2,3,3,4,3,1,2,3,3,1,2,4,3,4,5,4,5,1,3,3,3,3,4,4,5,3,3,3,3,4,5,4,3,3,3,4,3,3,4,3,4,2,2,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
217,218,5/22/2020 10:52,Filipino,Filipino,Asia,Male,High school,Both,19,Asian,"Single, never married",A student,Yes,More than a month,Worried,4,3,2,4,2,3,3,2,3,4,2,3,5,3,2,3,5,0,3,4,1,3,2.866666667,Bad,More than 3 years,"Adventure, Simulation, Strategy",Almost everyday,1.5,1. Everyday,Planting trees/flowers,making it even,3,3,3,3,1,4,4,4,4,4,3,4,1,1,4,4,3,1,1,4,4,4,1,2,3,3,2,3,5,4,4,5,3,4,1,3,2,4,1,5,1,5,4,1,4,4,4,4,3,2,1,1,3,2,4,3,2,5,1,2,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
218,219,5/22/2020 11:43,US,American,US/Canada,Female,Graduate school and higher,A pet,28,White,"Single, never married",Employed for wages,No,No self-isolation/social distancing,A little,3,4,1,3,2,3,3,2,3,3,4,1,3,4,1,3,4,1,2,5,0,3,2.2,Bad,0-1 years,Sports,Every week,2.5,6. Less than every month,Fishing,NO,2,3,2,2,3,4,3,2,3,3,2,1,3,4,2,2,1,1,2,2,2,1,3,1,2,1,3,2,3,2,3,4,2,4,3,2,2,3,2,3,2,4,3,2,4,4,3,4,3,2,2,2,3,3,2,3,2,1,1,2,No,No,No,No,No,No,No,Yes,No,No,No,No,No
219,220,5/22/2020 11:58,US,American,US/Canada,Female,Graduate school and higher,A garden,26,White,"Single, never married",Employed for wages,No,No self-isolation/social distancing,A little,3,2,3,2,3,2,2,3,2,4,3,2,4,4,1,3,4,1,3,5,0,2,2.266666667,Bad,0-1 years,RPG,Every week,2.5,6. Less than every month,Planting trees/flowers,no,2,3,4,2,2,3,2,4,4,3,2,1,3,4,3,2,1,1,2,3,2,2,3,1,2,3,4,3,4,3,3,4,3,4,3,3,2,3,2,3,3,4,3,3,4,3,3,4,2,2,1,2,3,2,3,2,3,4,1,2,No,No,No,No,No,Yes,No,No,No,No,No,No,No
